id,desi_targetid,dist_arcsec,z,zerr,spectype,subtype,diaObjectId
2432816,2305843037785304909,0.2838721828548487,0.04623872168854112,1.673195255286087e-6,GALAXY,,786351131134525442
2432849,39627853691617809,0.09946763730093237,0.5195340643351871,0.00001006438295897931,QSO,LOZ,788015379422118567
2433061,39627817444445424,0.21745953877044075,0.1437048842427738,6.428950095150615e-6,GALAXY,,786345358698479788
2433132,39627871794235149,0.8075829378833649,1.676738281270368,0.0005936305044533022,QSO,HIZ,789676397894306593
2433216,39627823475855590,0.22430741270286245,0.3633021371149188,0.00009647121227196734,GALAXY,,788010912656131759
2433300,39627847618266461,0.2007369638770114,0.2801798920316491,0.0001357213395898702,GALAXY,,788008026438107171
2433302,39627805381627027,0.2578198196523457,0.06596983784714539,8.145249239035243e-7,GALAXY,,786351062415048727
2433406,39627811404645173,0.18614859720759502,0.03184360289780547,7.516026607191158e-7,GALAXY,,786344740223188999
2433539,39627799316662843,0.4756260164558526,2.355477495766198,0.0002793714583957897,QSO,HIZ,786342884797319880
2433544,39627829557592693,0.234402489256365,1.335429694114861,0.0001217648633577279,QSO,LOZ,788018815395955259
2433608,39627811400455760,0.2846461897634677,0.04663263410166492,2.292644208057913e-6,GALAXY,,786344740223189098
2433858,39627871802623095,0.23436740288702004,0.2655909333275626,0.00002118461986509262,GALAXY,,789675504541108907
2433956,2305843037781108626,0.17298386939422875,0.0323368127157705,1.480878032544873e-6,GALAXY,,786345496137433107
2433980,39627847626657599,0.05696202555312938,0.2471085010509879,0.00004596471113458894,GALAXY,,788007751560200205
2433999,39627853683228859,0.03118711143799848,0.7665034906266884,0.00006125172940204603,QSO,LOZ,788016272775316718
2434047,39627847643433933,0.06126563284751852,0.2480948324574914,4.165487446365763e-6,GALAXY,,788014829666304006
2434137,39627817444442359,0.2314380314538442,0.2205987174405429,0.00007767697310599842,GALAXY,,786346114612724409
2434219,39627811396256904,0.5662117754835049,0.6229310014915311,0.0000280582425184225,GALAXY,,786344259186852790
2434281,39627877804674749,0.4974862946724757,0.932752477574551,2.232146096148817e-46,GALAXY,,789669388507676692
2434327,39627799325050565,0.29080913272837333,0.03321209605855582,0.00001194766570063055,GALAXY,,786342678638886921
2434375,2305843037793684392,0.19605351667747867,0.1030834782593041,0.00003894214612852803,GALAXY,,789673717834711112
2434393,39089837394891173,0.5835713837561839,0.669210393304925,0.00006489344924097209,GALAXY,,788010981375607497
2434491,39627793293642148,0.1929410989117824,0.03266330874366397,5.850519400104104e-7,GALAXY,,786349206989176867
2434688,39627817469612167,0.6740277418378143,0.2491392679640724,6.259883316227053e-6,GALAXY,,786352917840921762
2434719,39627859718834289,0.7902590375329228,0.1236452985373609,0.00003673040631813889,GALAXY,,789674542468431963
2434721,39627841578470870,0.25242340650566286,0.1625301682022934,3.689885116340588e-6,GALAXY,,788006583329098030
2434742,39089837394949234,0.18872888153877293,0.6720617290170473,0.00002599437966671317,GALAXY,,788004521744796096
2434763,39627817457025921,1.1494494534652757,0.3918815034175621,0.00001082040386162948,GALAXY,,786352574243540467
2435286,39627817452833652,0.3194835604451021,0.932752477574551,2.232146096148817e-46,GALAXY,,786353330157783887
2435456,39627811396259819,0.4696776322337289,0.6684979571952216,0.0001135343309656469,GALAXY,,786345564856912767
2435468,39627865741855012,0.45737572535103815,0.3140371252882496,0.0000375125446156123,GALAXY,,789668082837620550
2435643,39627865754437942,0.3928856028667052,0.4617320920767655,0.00001078057048410482,QSO,LOZ,789675229663199272
2435662,39627817415082847,0.11119878534876104,0.364177891436168,0.0001076167266346148,GALAXY,,786339380104003659
2436046,39627853679035999,1.595969272706186,0.2607706558137964,8.945524252172281e-6,GALAXY,,788015654300024841
2436185,39627865771216774,0.1944019113283117,0.1239817769382054,0.0000110265207449804,QSO,LOZ,789674748626867213
2436557,39627811400455470,0.8263919362240878,0.0325336881310677,5.11108371269625e-7,GALAXY,,786345427417956857
2436697,39627823492628776,0.03398495658438502,0.0982421208903552,5.070992313744312e-6,GALAXY,,788010569058746401
2436708,39627853666456169,0.7963874374605235,1.32530339126894,0.00005728752417153544,GALAXY,,788008438754967586
2436799,39627811392062049,0.18108796512793526,0.08955379342942786,2.949962608009676e-6,GALAXY,,786345083820572783
2437024,39627817469608187,1.1926466530592201,0.8409195201763447,0.0001254182065112921,GALAXY,,786352299365631197
2437282,39627835534479619,0.45117342618298223,0.6899796168893506,0.00009464798079865673,GALAXY,,788005964853805646
2437359,39627835538673970,0.6338579798327457,0.7470119771123196,2.534218292077831e-6,QSO,LOZ,788005896134329909
2437476,39089837394958537,0.917988549587211,0.73558097541263,0.00005095430795477311,GALAXY,,788006514609621831
2437662,2305843037885964723,0.6930282528536451,0.000179195533054764,5.94578706659092e-6,STAR,G,789677222528024638
2437759,39627853649677409,0.5968072757305901,0.7984318232207763,0.00006908563953338197,GALAXY,,788009538266595371
2437803,39627841582663368,0.0600421448360782,0.522531857764687,0.00003451719313102822,GALAXY,,788006514609620314
2438315,39627829507263382,0.31519793772125276,0.09235862522819152,1.779431862440793e-6,GALAXY,,788005002781132975
2438354,39627865741856427,1.2902367452982935,1.202506652913118,0.0001798358937704407,QSO,LOZ,789667326923375672
2438360,39627847664406610,0.502440406139586,1.069456495775674,0.0001210694843703959,QSO,LOZ,788022457528224095
2438406,39089837395041698,0.3324419160573298,0.9788192132874974,0.0002095193669453907,GALAXY,,788012493204097466
2438563,39627805373240178,0.38136920026126786,0.4749996565410339,0.00003116574921651999,GALAXY,,786350581378715345
2438734,39627799337634040,0.8604383335546365,0.1986123080839553,0.00001207350844470679,GALAXY,,786349138269700114
2438804,39627847630848986,0.8212888810598242,0.1014285987289716,8.31328966690287e-6,GALAXY,,788007682840723503
2438832,39627847647629481,1.3672647979022867,0.1241227451570323,0.00002805355561411045,GALAXY,,788014692227351202
2439070,39627823467467888,0.3219953389096249,0.3669434358407969,0.00001847119936091801,GALAXY,,786346458210112510
2439193,39627877842422759,0.6357347912280785,0.932752477574551,2.232146096148817e-46,GALAXY,,789683476000408778
2439212,2305843037793682617,0.40485858512395223,0.0641825778993999,2.563737658837018e-6,GALAXY,,788023350881419294
2439415,39627847660213173,0.2717486010394245,0.1654642176358733,0.00005161332235468514,GALAXY,,788021907772407830
2439564,39627817423475222,0.3760085824150221,0.6168833416564385,0.00008190142810084339,GALAXY,,786346526929584616
2439571,39627841624606202,0.7053436276442069,1.375653350741467,0.0003179462571050802,QSO,LOZ,788020464663397496
2439705,39627817423472443,0.533948850946907,0.932752477574551,2.232146096148817e-46,GALAXY,,786338418031331888
2439756,39627811404645871,0.2624369249515035,0.3703640571348797,9.630488452352463e-6,GALAXY,,786344740223192113
2439815,39089837394958660,1.2073024270817667,0.8821700205283666,0.00007889384373752916,GALAXY,,788007201804386382
2439873,39627835576422337,1.135389976365884,0.3438436915962427,3.375304055645214e-6,GALAXY,,788013111679385762
2439929,39089837395020092,0.310220351345101,0.3664464613373145,0.00001216760839963476,GALAXY,,788011118814560824
2440018,39627811421424505,0.7437533830884007,0.4694651538463658,9.721230063701633e-6,GALAXY,,786351749609816251
2440199,39627859752389241,0.4331763606767802,0.910430643421331,0.0000512524797201999,GALAXY,,788023694478803767
2440209,39089837394967309,0.5209826670930878,0.3406512012974779,4.217459788754763e-6,GALAXY,,788008644913397877
2440211,39089837394971759,0.5088077063323163,0.6062328401874149,0.00003769488335528385,GALAXY,,788021839052932530
2440311,39627841570082857,0.8434717464239182,0.2245448103153487,4.604694582392561e-6,GALAXY,,788006789487527207
2440702,39089837395020628,0.3676780451835878,0.351161362561706,3.461340304924763e-6,GALAXY,,789675023504771213
2440806,39627853708398465,1.0172574587064847,1.564890314272267,0.00002872840125501064,GALAXY,,788022388808747439
2440881,39627829507260596,0.9956208668382409,0.3033541351920689,3.157756399883869e-6,GALAXY,,788005071500607518
2440937,39627853704202920,0.45975196164002674,0.1856955573983291,0.00002882328428103671,GALAXY,,788023213442465817
2441019,39627841603637506,0.8036317733428792,1.836438404741364,0.0007010911100413346,QSO,HIZ,788013455276771787
2441474,39627823509409340,0.5856541472303929,0.1831365707656228,3.497855343148763e-6,GALAXY,,788018265640142780
2441872,39627859710447512,1.102579606566636,0.3321922506266344,0.00003395773223694249,GALAXY,,788008988510783576
